business_id,review_count,stars,state
fweCYi8FmbJXHCqLnwuk8w,16,4.0,OH
PZ-LZzSlhSe9utkQYU8pFg,40,4.0,NV
BvYU3jvGd0TJ7IyZdfiN2Q,16,3.5,NC
PkDghu4aan2_wxrhXjTEgg,16,3.5,AB
RFbMVekR8lU9tPJ8sWrwHg,18,4.0,ON
bJP4l_BGq2CudEu0m-wNjg,3,2.0,NV
WlArCYe6xCzOe5u2Lt1how,5,3.0,ON
jwHtNvHBPafiAwM92jM8yA,3,4.0,ON
v7ZFEEqJBg_r8NCwHRP_2A,3,4.5,NV
111d13yLgIdqvpZekgVnbQ,5,3.0,ON
CPgz4srKkE5u9aoBAOaQsA,23,3.5,NC
TTVwcuc1Nz4ZSZH4wnbxKQ,3,3.5,ON
tWjfgVtTD5n01Cq9dFWGsA,185,3.5,AB
CxRBRrtd7NHz890gWPG9AA,4,4.0,AB
dUffgo9Lh_Vk9TLuFR5ywg,563,3.5,AZ
q4P3WHwC0lFafwvTlkKMIw,6,3.0,PA
e-9f6vasnWh3z0uOq287Aw,14,2.0,AZ
Tuu_B0QGo7SQUuXW_Nd4hg,9,3.0,ON
KAhavksKQwKbMzZHiNOyOQ,38,3.5,WI
xHZmM-kGXqOfmQNTm0T05g,27,4.0,NC
mQkVFNSDpD4frPUMycVoWw,34,4.0,ON
SZ5KO1KNiwtrktKo5mpuLA,21,3.5,NV
8ELlbjnXfZAw4KbQRP3-EQ,8,4.0,QC
tylsscXmLq03-DzGI36bIA,8,3.5,AZ
zfOum9_rEhaLAqoAV3nYaQ,97,4.0,AZ
k2b3niokS_tosjah_rzCPw,303,3.5,NV
iW0_acsRQtjlpE_8O6l1_Q,56,3.0,WI
pvKp4m3eFeHv15kYZaq1Bw,10,1.5,PA
R_18EYQLNho8-xH6FTRymw,8,3.0,AZ
kExmc2lS8BhFFlh9sjvuSA,50,3.0,ON
iag4htR8F7FmE9zpz7_GMw,60,4.0,ON
N-U0o7hIKy3Z6KY_O4RuPg,32,3.0,ON
r80qDv4gFhnixb2GRUmKeQ,22,4.0,OH
PE6zjI3g0iscqUixA0VZpA,11,4.0,AB
ILA41PhErg4bl1royzDX4g,105,4.0,AZ
UmFty_GxdqVe35apYnmGbw,8,3.0,PA
xomRWgUrcq2ESC6oBwrfbA,18,2.5,AB
hgQOESYp7CF4LnNI90XEiw,296,3.5,NV
bX4gfj2Kj22Lwm-nSsnnfg,59,4.5,NC
BpJDI4Fj92lLNALQQeLvLg,43,4.0,PA
l7RCvKqA61Jzm98gaqIhvw,34,3.5,ON
JCMnL6-pbWmG7xSVkdBuoQ,3,2.5,ON
sMzNLdhJZGzYirIWt-fMAg,752,4.0,PA
DZkVWxknDUuWX0-wmtGhQw,29,3.0,NV
2E57EmAD7qdfS1NL8_EfMQ,4,4.0,NC
QPpptKYmU3fZMi_JsUf4qg,5,1.0,ON
NbjeMaUoYT_XUB8PWnwLkw,5,2.0,OH
2W3If040rgz34_ZO3c_SxA,32,2.0,ON
0WAL6O1YvcJbeDRYeRm34w,170,4.0,AZ
cs1qJvnWUg_f8g020z_3PQ,579,3.5,AZ
YfuL93FEOMxevS_ij8HyDg,3,2.5,OH
lXCmTGagqHuPgaeN2g2P1Q,39,3.5,NV
Idk-QTyUZq9w0ALh5cyvrw,12,2.0,ON
0txNpCq2YunZSL7jHIiGlA,19,4.0,ON
-NaIIkbUsm0-L0oL9r6VTg,12,3.5,QC
3_qOEg_yaHbBpJ167ExIqQ,25,3.5,QC
